code,description
E11.630,Type 2 diabetes mellitus with periodontal disease
E11.638,Type 2 diabetes mellitus with other oral complications
E11.641,Type 2 diabetes mellitus with hypoglycemia with coma
E11.649,Type 2 diabetes mellitus with hypoglycemia without coma
E11.69,Type 2 diabetes mellitus with other specified complication
E08.22,Diabetes mellitus due to underlying condition with diabetic chronic kidney disease
E09.22,Drug or chemical induced diabetes mellitus with diabetic chronic kidney disease
E13.22,Other specified diabetes mellitus with diabetic chronic kidney disease
G47.33,Obstructive sleep apnea (adult) (pediatric)
G47.30,"Sleep apnea, unspecified"
J45.909,"Unspecified asthma, uncomplicated"
J45.901,Unspecified asthma with (acute) exacerbation
J96.10,"Chronic respiratory failure, unspecified whether with hypoxia or hypercapnia"
J96.11,Chronic respiratory failure with hypoxia
J96.12,Chronic respiratory failure with hypercapnia
J84.10,"Pulmonary fibrosis, unspecified"
J84.112,Idiopathic pulmonary fibrosis
I27.20,"Pulmonary hypertension, unspecified"
I27.0,Primary pulmonary hypertension
I26.99,Other pulmonary embolism without acute cor pulmonale
I82.401,Acute embolism and thrombosis of unspecified deep veins of right lower extremity
I82.409,Acute embolism and thrombosis of unspecified deep veins of unspecified lower extremity
I83.10,Varicose veins of unspecified lower extremity with inflammation
I83.811,Varicose veins of right lower extremity with pain
I87.2,Venous insufficiency (chronic) (peripheral)
I89.0,"Lymphedema, not elsewhere classified"
M81.0,Age-related osteoporosis without current pathological fracture
M80.00XA,"Age-related osteoporosis with current pathological fracture, unspecified site, initial encounter"
M15.0,Primary generalized (osteo)arthritis
M17.11,"Unilateral primary osteoarthritis, right knee"
M17.12,"Unilateral primary osteoarthritis, left knee"
M16.11,"Unilateral primary osteoarthritis, right hip"
M54.50,"Low back pain, unspecified"
M54.16,"Radiculopathy, lumbar region"
G89.29,Other chronic pain
G89.4,Chronic pain syndrome
G62.9,"Polyneuropathy, unspecified"
G63,Polyneuropathy in diseases classified elsewhere
H40.9,Unspecified glaucoma
H35.30,Unspecified macular degeneration
H35.31,Nonexudative age-related macular degeneration
H35.32,Exudative age-related macular degeneration
H36.0,Diabetic retinopathy
N39.3,Stress incontinence (female) (male)
N40.1,Benign prostatic hyperplasia with lower urinary tract symptoms
N40.0,Benign prostatic hyperplasia without lower urinary tract symptoms
N40.3,Nodular prostate without lower urinary tract symptoms
B20,Human immunodeficiency virus [HIV] disease
B18.2,Chronic viral hepatitis C
B18.1,Chronic viral hepatitis B without delta-agent
K21.9,Gastro-esophageal reflux disease without esophagitis
K21.0,Gastro-esophageal reflux disease with esophagitis
K57.30,Diverticulosis of large intestine without perforation or abscess without bleeding
K57.32,Diverticulitis of large intestine without perforation or abscess without bleeding
K58.9,Irritable bowel syndrome without diarrhea
K58.0,Irritable bowel syndrome with diarrhea
K50.90,"Crohn disease, unspecified, without complications"
K51.90,"Ulcerative colitis, unspecified, without complications"
K92.2,"Gastrointestinal hemorrhage, unspecified"
R18.8,Other ascites
I85.00,Esophageal varices without bleeding
I85.01,Esophageal varices with bleeding
F10.20,"Alcohol dependence, uncomplicated"
F17.210,"Nicotine dependence, cigarettes, uncomplicated"
F41.1,Generalized anxiety disorder
F41.9,"Anxiety disorder, unspecified"
F31.9,"Bipolar disorder, unspecified"
F20.9,"Schizophrenia, unspecified"
G20,Parkinson disease
G35,Multiple sclerosis
G40.909,"Epilepsy, unspecified, not intractable, without status epilepticus"
S06.9X0A,"Unspecified intracranial injury without loss of consciousness, initial encounter"
Z79.4,Long term (current) use of insulin
Z79.84,Long term (current) use of oral hypoglycemic drugs
Z87.891,Personal history of nicotine dependence
Z94.0,Kidney transplant status
Z94.1,Heart transplant status
Z94.4,Liver transplant status
Z99.2,Dependence on renal dialysis
Z99.81,Dependence on supplemental oxygen
I21.9,"Acute myocardial infarction, unspecified"
I21.4,Non-ST elevation (NSTEMI) myocardial infarction
I21.3,ST elevation (STEMI) myocardial infarction of unspecified site
I24.9,"Acute ischemic heart disease, unspecified"
I47.1,Supraventricular tachycardia
I47.2,Ventricular tachycardia
I49.9,"Cardiac arrhythmia, unspecified"
I44.7,"Left bundle-branch block, unspecified"
I51.7,Cardiomegaly
I51.89,Other ill-defined heart diseases
J18.9,"Pneumonia, unspecified organism"
J15.9,Unspecified bacterial pneumonia
J69.0,Pneumonitis due to inhalation of food and vomit
A41.9,"Sepsis, unspecified organism"
R65.20,Severe sepsis without septic shock
R65.21,Severe sepsis with septic shock
N39.0,"Urinary tract infection, site not specified"
L89.90,"Pressure ulcer of unspecified site, unspecified stage"
L97.909,Non-pressure chronic ulcer of unspecified part of unspecified lower leg with unspecified severity
E87.6,Hypokalemia
E87.5,Hyperkalemia
E86.0,Dehydration
E86.9,"Volume depletion, unspecified"
R79.89,Other specified abnormal findings of blood chemistry
R73.03,Prediabetes
R73.9,"Hyperglycemia, unspecified"
R74.01,Elevation of levels of liver transaminase levels
R94.31,Abnormal electrocardiogram [ECG] [EKG]
R06.02,Shortness of breath
R06.00,"Dyspnea, unspecified"
R50.9,"Fever, unspecified"
R53.1,Weakness
R53.83,Other fatigue
R63.4,Abnormal weight loss
R63.5,Abnormal weight gain
R60.9,"Edema, unspecified"
R09.02,Hypoxemia
R91.8,Other nonspecific abnormal finding of lung field
Z68.41,"Body mass index [BMI] 40.0-44.9, adult"
Z68.42,"Body mass index [BMI] 45.0-49.9, adult"
Z68.43,"Body mass index [BMI] 50.0-59.9, adult"
Z68.44,"Body mass index [BMI] 60.0-69.9, adult"
Z68.45,"Body mass index [BMI] 70 or greater, adult"
E11.9,type 2 diabetes mellitus
E11.22,diabetic chronic kidney disease
E11.42,diabetic peripheral polyneuropathy
E11.42,diabetic polyneuropathy
I50.22,chronic systolic congestive heart failure
I50.22,heart failure with reduced ejection fraction
I50.32,chronic diastolic congestive heart failure
J44.1,copd with acute exacerbation
J44.1,chronic obstructive pulmonary disease with acute exacerbation
J44.9,chronic obstructive pulmonary disease
I10,essential hypertension
I10,hypertension
